pathway	pval	padj	ES	NES	nMoreExtreme	size
5991505	0.000773129456232282	0.00638104030073405	0.587568512983635	1.99098424891519	53	32
5992282	0.000872701885036072	0.00710282367543247	0.610142045881856	1.9878875590641	59	27
5991593	0.000923132035437248	0.0074103475721401	0.518235181138003	1.91632598359444	66	48
5992219	0.00113773834898324	0.00900965773654293	0.586304738678019	1.95720675919887	78	30
5991234	0.00116360251338143	0.00909161430455356	0.600865630057702	1.95766431558497	79	27
5991107	0.00120250852411106	0.00927197362011947	0.687296156514851	1.96864270995762	78	16
5991457	0.00123450372950074	0.00939505435697966	0.439208837364733	1.79869684632732	94	83
5991582	0.00132023453578224	0.00991868510215887	-0.645789937594646	-1.99215158665646	67	16
5991594	0.00139919614809531	0.0103788473770108	0.501281869828255	1.86884422866707	101	50
5992134	0.00151620826636747	0.0111062255511417	0.669999928330425	1.94968354198355	99	17
5992122	0.00170244821092279	0.0123164771802562	0.65835826803369	1.94484434773054	112	18
5991147	0.0018227562127747	0.0128933695000734	-0.356960956857488	-1.67262132369135	70	93
5991838	0.00182619397355989	0.0128933695000734	-0.594354921219193	-1.95354451415358	91	20
5992327	0.00199976701743486	0.0137794812707221	-0.631229233429711	-1.94723430285199	102	16
5991592	0.00201607335192908	0.0137794812707221	0.500471229231919	1.84241347805418	145	47
5991357	0.00202224469160768	0.0137794812707221	0.574746401695944	1.90456637648252	139	29
5992312	0.0021464252263503	0.0144575308349572	-0.617131551964661	-1.93749029799974	109	17
5991421	0.00223240060043878	0.014865758543831	-0.638591779591562	-1.93409028481517	115	15
5991834	0.00228545596102167	0.0150480583500978	0.395632814639965	1.69590285537422	181	109
5991122	0.00246984081661789	0.0160814079837565	0.551254415740518	1.88091169532228	172	33
5991751	0.00254555198285102	0.0163922358456121	-0.440633224827068	-1.7948273586434	113	47
5991578	0.00273075960977237	0.0173937514274631	-0.516520899081321	-1.873419069035	130	29
5991574	0.00284388224052418	0.0179195160531954	-0.424487453496504	-1.76593854811636	124	52
5991547	0.00313220515943794	0.0195263002492621	-0.462632793385889	-1.81720371117324	143	40
5991591	0.00326479101222239	0.020138605612235	0.478251147754269	1.78298269123555	237	50
5992206	0.00332215970310068	0.0202790165210104	0.622159388618212	1.88570252190923	221	20
5992292	0.00337810665165286	0.0203573185509203	0.444902584107028	1.73791197257457	251	64
5991456	0.00340446624230408	0.0203573185509203	0.417960076765965	1.70418040797787	260	81
5991171	0.00362323988689808	0.021446652259821	0.529643161964498	1.83090799829232	254	35
5991427	0.00392397302268547	0.0229944819129368	0.663346618346713	1.86706107846952	255	15
5991325	0.0040718966846569	0.0236250639327618	-0.371955703233887	-1.65829526815703	168	72
5991002	0.00430832113562926	0.0247517273086152	0.478274077184574	1.76069782744783	311	47
5991780	0.00473420166285889	0.0269343900430613	-0.381940769429922	-1.66810466617126	200	65
5990985	0.00479576188484595	0.0270222736973051	0.489498579909506	1.76886691498381	343	43
5992087	0.00515761518032408	0.0287844047206658	-0.612996992676744	-1.85657186021922	267	15
